,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,topic,location
1160,1160,45+,1.0,Expats,No Degree,NOTSELECTED,920,1488123352.37,fitness and wellness,YE
1161,1161,18-24,2.0,Expats,No Degree,NOTSELECTED,2500,1488123352.37,fitness and wellness,YE
1162,1162,25-44,2.0,Expats,No Degree,NOTSELECTED,2400,1488123352.37,fitness and wellness,YE
1163,1163,45+,2.0,Expats,No Degree,NOTSELECTED,450,1488123352.37,fitness and wellness,YE
1164,1164,18-24,1.0,Expats,High School,NOTSELECTED,3500,1488123352.37,fitness and wellness,YE
1165,1165,25-44,1.0,Expats,High School,NOTSELECTED,3200,1488123352.37,fitness and wellness,YE
1166,1166,45+,1.0,Expats,High School,NOTSELECTED,400,1488123352.37,fitness and wellness,YE
1167,1167,18-24,2.0,Expats,High School,NOTSELECTED,1200,1488123352.37,fitness and wellness,YE
1168,1168,25-44,2.0,Expats,High School,NOTSELECTED,810,1488123352.37,fitness and wellness,YE
1169,1169,45+,2.0,Expats,High School,NOTSELECTED,90,1488123352.37,fitness and wellness,YE
1170,1170,18-24,1.0,Locals,Graduated,NOTSELECTED,53000,1488123352.37,fitness and wellness,YE
1171,1171,25-44,1.0,Locals,Graduated,NOTSELECTED,120000,1488123352.37,fitness and wellness,YE
1172,1172,45+,1.0,Locals,Graduated,NOTSELECTED,11000,1488123352.37,fitness and wellness,YE
1173,1173,18-24,2.0,Locals,Graduated,NOTSELECTED,12000,1488123352.37,fitness and wellness,YE
1174,1174,25-44,2.0,Locals,Graduated,NOTSELECTED,22000,1488123352.37,fitness and wellness,YE
1175,1175,45+,2.0,Locals,Graduated,NOTSELECTED,1400,1488123352.37,fitness and wellness,YE
1176,1176,18-24,1.0,Locals,No Degree,NOTSELECTED,61000,1488123352.37,fitness and wellness,YE
1177,1177,25-44,1.0,Locals,No Degree,NOTSELECTED,87000,1488123352.37,fitness and wellness,YE
1178,1178,45+,1.0,Locals,No Degree,NOTSELECTED,14000,1488123352.37,fitness and wellness,YE
1179,1179,18-24,2.0,Locals,No Degree,NOTSELECTED,15000,1488123352.37,fitness and wellness,YE
1180,1180,25-44,2.0,Locals,No Degree,NOTSELECTED,17000,1488123352.37,fitness and wellness,YE
1181,1181,45+,2.0,Locals,No Degree,NOTSELECTED,2600,1488123352.37,fitness and wellness,YE
1182,1182,18-24,1.0,Locals,High School,NOTSELECTED,36000,1488123352.37,fitness and wellness,YE
1183,1183,25-44,1.0,Locals,High School,NOTSELECTED,34000,1488123352.37,fitness and wellness,YE
1184,1184,45+,1.0,Locals,High School,NOTSELECTED,3300,1488123352.37,fitness and wellness,YE
1185,1185,18-24,2.0,Locals,High School,NOTSELECTED,12000,1488123352.37,fitness and wellness,YE
1186,1186,25-44,2.0,Locals,High School,NOTSELECTED,6100,1488123352.37,fitness and wellness,YE
1187,1187,45+,2.0,Locals,High School,NOTSELECTED,520,1488123352.37,fitness and wellness,YE
1188,1188,18-24,1.0,Expats,Graduated,NOTSELECTED,12000,1488123352.37,fitness and wellness,PS
1189,1189,25-44,1.0,Expats,Graduated,NOTSELECTED,20000,1488123352.37,fitness and wellness,PS
1190,1190,45+,1.0,Expats,Graduated,NOTSELECTED,3000,1488123352.37,fitness and wellness,PS
1191,1191,18-24,2.0,Expats,Graduated,NOTSELECTED,9000,1488123352.37,fitness and wellness,PS
1192,1192,25-44,2.0,Expats,Graduated,NOTSELECTED,16000,1488123352.37,fitness and wellness,PS
1193,1193,45+,2.0,Expats,Graduated,NOTSELECTED,2300,1488123352.37,fitness and wellness,PS
1194,1194,18-24,1.0,Expats,No Degree,NOTSELECTED,4500,1488123352.37,fitness and wellness,PS
1195,1195,25-44,1.0,Expats,No Degree,NOTSELECTED,5800,1488123352.37,fitness and wellness,PS
1196,1196,45+,1.0,Expats,No Degree,NOTSELECTED,1800,1488123352.37,fitness and wellness,PS
1197,1197,18-24,2.0,Expats,No Degree,NOTSELECTED,4800,1488123352.37,fitness and wellness,PS
1198,1198,25-44,2.0,Expats,No Degree,NOTSELECTED,7100,1488123352.37,fitness and wellness,PS
1199,1199,45+,2.0,Expats,No Degree,NOTSELECTED,3100,1488123352.37,fitness and wellness,PS
1200,1200,18-24,1.0,Expats,High School,NOTSELECTED,7900,1488123352.37,fitness and wellness,PS
1201,1201,25-44,1.0,Expats,High School,NOTSELECTED,4400,1488123352.37,fitness and wellness,PS
1202,1202,45+,1.0,Expats,High School,NOTSELECTED,860,1488123352.37,fitness and wellness,PS
1203,1203,18-24,2.0,Expats,High School,NOTSELECTED,8700,1488123352.37,fitness and wellness,PS
1204,1204,25-44,2.0,Expats,High School,NOTSELECTED,4200,1488123352.37,fitness and wellness,PS
1205,1205,45+,2.0,Expats,High School,NOTSELECTED,1100,1488123352.37,fitness and wellness,PS
1206,1206,18-24,1.0,Locals,Graduated,NOTSELECTED,48000,1488123352.37,fitness and wellness,PS
1207,1207,25-44,1.0,Locals,Graduated,NOTSELECTED,78000,1488123352.37,fitness and wellness,PS
1208,1208,45+,1.0,Locals,Graduated,NOTSELECTED,11000,1488123352.37,fitness and wellness,PS
1209,1209,18-24,2.0,Locals,Graduated,NOTSELECTED,43000,1488123352.37,fitness and wellness,PS
1210,1210,25-44,2.0,Locals,Graduated,NOTSELECTED,65000,1488123352.37,fitness and wellness,PS
1211,1211,45+,2.0,Locals,Graduated,NOTSELECTED,6500,1488123352.37,fitness and wellness,PS
1212,1212,18-24,1.0,Locals,No Degree,NOTSELECTED,28000,1488123352.37,fitness and wellness,PS
1213,1213,25-44,1.0,Locals,No Degree,NOTSELECTED,36000,1488123352.37,fitness and wellness,PS
1214,1214,45+,1.0,Locals,No Degree,NOTSELECTED,12000,1488123352.37,fitness and wellness,PS
1215,1215,18-24,2.0,Locals,No Degree,NOTSELECTED,29000,1488123352.37,fitness and wellness,PS
1216,1216,25-44,2.0,Locals,No Degree,NOTSELECTED,42000,1488123352.37,fitness and wellness,PS
1217,1217,45+,2.0,Locals,No Degree,NOTSELECTED,15000,1488123352.37,fitness and wellness,PS
1218,1218,18-24,1.0,Locals,High School,NOTSELECTED,30000,1488123352.37,fitness and wellness,PS
1219,1219,25-44,1.0,Locals,High School,NOTSELECTED,19000,1488123352.37,fitness and wellness,PS
1220,1220,45+,1.0,Locals,High School,NOTSELECTED,3900,1488123352.37,fitness and wellness,PS
1221,1221,18-24,2.0,Locals,High School,NOTSELECTED,37000,1488123352.37,fitness and wellness,PS
1222,1222,25-44,2.0,Locals,High School,NOTSELECTED,18000,1488123352.37,fitness and wellness,PS
1223,1223,45+,2.0,Locals,High School,NOTSELECTED,2900,1488123352.37,fitness and wellness,PS
8568,8568,18-24,1.0,Expats,Graduated,NOTSELECTED,110000,1488123352.37,health,DZ
8569,8569,25-44,1.0,Expats,Graduated,NOTSELECTED,110000,1488123352.37,health,DZ
8570,8570,45+,1.0,Expats,Graduated,NOTSELECTED,15000,1488123352.37,health,DZ
8571,8571,18-24,2.0,Expats,Graduated,NOTSELECTED,36000,1488123352.37,health,DZ
8572,8572,25-44,2.0,Expats,Graduated,NOTSELECTED,29000,1488123352.37,health,DZ
8573,8573,45+,2.0,Expats,Graduated,NOTSELECTED,5300,1488123352.37,health,DZ
8574,8574,18-24,1.0,Expats,No Degree,NOTSELECTED,66000,1488123352.37,health,DZ
8575,8575,25-44,1.0,Expats,No Degree,NOTSELECTED,96000,1488123352.37,health,DZ
8576,8576,45+,1.0,Expats,No Degree,NOTSELECTED,19000,1488123352.37,health,DZ
8577,8577,18-24,2.0,Expats,No Degree,NOTSELECTED,30000,1488123352.37,health,DZ
8578,8578,25-44,2.0,Expats,No Degree,NOTSELECTED,35000,1488123352.37,health,DZ
8579,8579,45+,2.0,Expats,No Degree,NOTSELECTED,7800,1488123352.37,health,DZ
8580,8580,18-24,1.0,Expats,High School,NOTSELECTED,42000,1488123352.37,health,DZ
8581,8581,25-44,1.0,Expats,High School,NOTSELECTED,26000,1488123352.37,health,DZ
8582,8582,45+,1.0,Expats,High School,NOTSELECTED,5200,1488123352.37,health,DZ
8583,8583,18-24,2.0,Expats,High School,NOTSELECTED,15000,1488123352.37,health,DZ
8584,8584,25-44,2.0,Expats,High School,NOTSELECTED,7900,1488123352.37,health,DZ
8585,8585,45+,2.0,Expats,High School,NOTSELECTED,2200,1488123352.37,health,DZ
8586,8586,18-24,1.0,Locals,Graduated,NOTSELECTED,480000,1488123352.37,health,DZ
8587,8587,25-44,1.0,Locals,Graduated,NOTSELECTED,750000,1488123352.37,health,DZ
8588,8588,45+,1.0,Locals,Graduated,NOTSELECTED,88000,1488123352.37,health,DZ
8589,8589,18-24,2.0,Locals,Graduated,NOTSELECTED,320000,1488123352.37,health,DZ
8590,8590,25-44,2.0,Locals,Graduated,NOTSELECTED,400000,1488123352.37,health,DZ
8591,8591,45+,2.0,Locals,Graduated,NOTSELECTED,39000,1488123352.37,health,DZ
8592,8592,18-24,1.0,Locals,No Degree,NOTSELECTED,590000,1488123352.37,health,DZ
8593,8593,25-44,1.0,Locals,No Degree,NOTSELECTED,940000,1488123352.37,health,DZ
8594,8594,45+,1.0,Locals,No Degree,NOTSELECTED,160000,1488123352.37,health,DZ
8595,8595,18-24,2.0,Locals,No Degree,NOTSELECTED,420000,1488123352.37,health,DZ
8596,8596,25-44,2.0,Locals,No Degree,NOTSELECTED,500000,1488123352.37,health,DZ
8597,8597,45+,2.0,Locals,No Degree,NOTSELECTED,84000,1488123352.37,health,DZ
8598,8598,18-24,1.0,Locals,High School,NOTSELECTED,230000,1488123352.37,health,DZ
8599,8599,25-44,1.0,Locals,High School,NOTSELECTED,210000,1488123352.37,health,DZ
8600,8600,45+,1.0,Locals,High School,NOTSELECTED,34000,1488123352.37,health,DZ
8601,8601,18-24,2.0,Locals,High School,NOTSELECTED,160000,1488123352.37,health,DZ
8602,8602,25-44,2.0,Locals,High School,NOTSELECTED,94000,1488123352.37,health,DZ
8603,8603,45+,2.0,Locals,High School,NOTSELECTED,18000,1488123352.37,health,DZ
8604,8604,18-24,1.0,Expats,Graduated,NOTSELECTED,17000,1488123352.37,health,BH
8605,8605,25-44,1.0,Expats,Graduated,NOTSELECTED,83000,1488123352.37,health,BH
8606,8606,45+,1.0,Expats,Graduated,NOTSELECTED,11000,1488123352.37,health,BH
8607,8607,18-24,2.0,Expats,Graduated,NOTSELECTED,4700,1488123352.37,health,BH
8608,8608,25-44,2.0,Expats,Graduated,NOTSELECTED,38000,1488123352.37,health,BH
8609,8609,45+,2.0,Expats,Graduated,NOTSELECTED,6900,1488123352.37,health,BH
8610,8610,18-24,1.0,Expats,No Degree,NOTSELECTED,23000,1488123352.37,health,BH
8611,8611,25-44,1.0,Expats,No Degree,NOTSELECTED,74000,1488123352.37,health,BH
8612,8612,45+,1.0,Expats,No Degree,NOTSELECTED,13000,1488123352.37,health,BH
8613,8613,18-24,2.0,Expats,No Degree,NOTSELECTED,6100,1488123352.37,health,BH
8614,8614,25-44,2.0,Expats,No Degree,NOTSELECTED,22000,1488123352.37,health,BH
8615,8615,45+,2.0,Expats,No Degree,NOTSELECTED,5500,1488123352.37,health,BH
8616,8616,18-24,1.0,Expats,High School,NOTSELECTED,7500,1488123352.37,health,BH
8617,8617,25-44,1.0,Expats,High School,NOTSELECTED,23000,1488123352.37,health,BH
8618,8618,45+,1.0,Expats,High School,NOTSELECTED,3800,1488123352.37,health,BH
8619,8619,18-24,2.0,Expats,High School,NOTSELECTED,3000,1488123352.37,health,BH
8620,8620,25-44,2.0,Expats,High School,NOTSELECTED,11000,1488123352.37,health,BH
8621,8621,45+,2.0,Expats,High School,NOTSELECTED,2400,1488123352.37,health,BH
8622,8622,18-24,1.0,Locals,Graduated,NOTSELECTED,3900,1488123352.37,health,BH
8623,8623,25-44,1.0,Locals,Graduated,NOTSELECTED,12000,1488123352.37,health,BH
8624,8624,45+,1.0,Locals,Graduated,NOTSELECTED,1900,1488123352.37,health,BH
8625,8625,18-24,2.0,Locals,Graduated,NOTSELECTED,2300,1488123352.37,health,BH
8626,8626,25-44,2.0,Locals,Graduated,NOTSELECTED,7900,1488123352.37,health,BH
8627,8627,45+,2.0,Locals,Graduated,NOTSELECTED,930,1488123352.37,health,BH
8628,8628,18-24,1.0,Locals,No Degree,NOTSELECTED,5000,1488123352.37,health,BH
8629,8629,25-44,1.0,Locals,No Degree,NOTSELECTED,10000,1488123352.37,health,BH
8630,8630,45+,1.0,Locals,No Degree,NOTSELECTED,2500,1488123352.37,health,BH
8631,8631,18-24,2.0,Locals,No Degree,NOTSELECTED,3500,1488123352.37,health,BH
8632,8632,25-44,2.0,Locals,No Degree,NOTSELECTED,7200,1488123352.37,health,BH
8633,8633,45+,2.0,Locals,No Degree,NOTSELECTED,1400,1488123352.37,health,BH
8634,8634,18-24,1.0,Locals,High School,NOTSELECTED,2500,1488123352.37,health,BH
8635,8635,25-44,1.0,Locals,High School,NOTSELECTED,3400,1488123352.37,health,BH
8636,8636,45+,1.0,Locals,High School,NOTSELECTED,630,1488123352.37,health,BH
8637,8637,18-24,2.0,Locals,High School,NOTSELECTED,2200,1488123352.37,health,BH
8638,8638,25-44,2.0,Locals,High School,NOTSELECTED,1800,1488123352.37,health,BH
8639,8639,45+,2.0,Locals,High School,NOTSELECTED,260,1488123352.37,health,BH
8640,8640,18-24,1.0,Expats,Graduated,NOTSELECTED,67000,1488123352.37,health,EG
8641,8641,25-44,1.0,Expats,Graduated,NOTSELECTED,130000,1488123352.37,health,EG
8642,8642,45+,1.0,Expats,Graduated,NOTSELECTED,24000,1488123352.37,health,EG
8643,8643,18-24,2.0,Expats,Graduated,NOTSELECTED,32000,1488123352.37,health,EG
8644,8644,25-44,2.0,Expats,Graduated,NOTSELECTED,63000,1488123352.37,health,EG
8645,8645,45+,2.0,Expats,Graduated,NOTSELECTED,12000,1488123352.37,health,EG
8646,8646,18-24,1.0,Expats,No Degree,NOTSELECTED,32000,1488123352.37,health,EG
8647,8647,25-44,1.0,Expats,No Degree,NOTSELECTED,55000,1488123352.37,health,EG
8648,8648,45+,1.0,Expats,No Degree,NOTSELECTED,17000,1488123352.37,health,EG
8649,8649,18-24,2.0,Expats,No Degree,NOTSELECTED,19000,1488123352.37,health,EG
8650,8650,25-44,2.0,Expats,No Degree,NOTSELECTED,32000,1488123352.37,health,EG
8651,8651,45+,2.0,Expats,No Degree,NOTSELECTED,12000,1488123352.37,health,EG
8652,8652,18-24,1.0,Expats,High School,NOTSELECTED,41000,1488123352.37,health,EG
8653,8653,25-44,1.0,Expats,High School,NOTSELECTED,30000,1488123352.37,health,EG
8654,8654,45+,1.0,Expats,High School,NOTSELECTED,6100,1488123352.37,health,EG
8655,8655,18-24,2.0,Expats,High School,NOTSELECTED,25000,1488123352.37,health,EG
8656,8656,25-44,2.0,Expats,High School,NOTSELECTED,16000,1488123352.37,health,EG
8657,8657,45+,2.0,Expats,High School,NOTSELECTED,3700,1488123352.37,health,EG
8658,8658,18-24,1.0,Locals,Graduated,NOTSELECTED,1300000,1488123352.37,health,EG
8659,8659,25-44,1.0,Locals,Graduated,NOTSELECTED,2300000,1488123352.37,health,EG
8660,8660,45+,1.0,Locals,Graduated,NOTSELECTED,370000,1488123352.37,health,EG
8661,8661,18-24,2.0,Locals,Graduated,NOTSELECTED,970000,1488123352.37,health,EG
8662,8662,25-44,2.0,Locals,Graduated,NOTSELECTED,1500000,1488123352.37,health,EG
8663,8663,45+,2.0,Locals,Graduated,NOTSELECTED,220000,1488123352.37,health,EG
8664,8664,18-24,1.0,Locals,No Degree,NOTSELECTED,800000,1488123352.37,health,EG
8665,8665,25-44,1.0,Locals,No Degree,NOTSELECTED,1300000,1488123352.37,health,EG
8666,8666,45+,1.0,Locals,No Degree,NOTSELECTED,460000,1488123352.37,health,EG
8667,8667,18-24,2.0,Locals,No Degree,NOTSELECTED,640000,1488123352.37,health,EG
8668,8668,25-44,2.0,Locals,No Degree,NOTSELECTED,990000,1488123352.37,health,EG
8669,8669,45+,2.0,Locals,No Degree,NOTSELECTED,370000,1488123352.37,health,EG
8670,8670,18-24,1.0,Locals,High School,NOTSELECTED,820000,1488123352.37,health,EG
8671,8671,25-44,1.0,Locals,High School,NOTSELECTED,500000,1488123352.37,health,EG
8672,8672,45+,1.0,Locals,High School,NOTSELECTED,99000,1488123352.37,health,EG
8673,8673,18-24,2.0,Locals,High School,NOTSELECTED,720000,1488123352.37,health,EG
8674,8674,25-44,2.0,Locals,High School,NOTSELECTED,290000,1488123352.37,health,EG
8675,8675,45+,2.0,Locals,High School,NOTSELECTED,53000,1488123352.37,health,EG
8676,8676,18-24,1.0,Expats,Graduated,NOTSELECTED,52000,1488123352.37,health,IQ
8677,8677,25-44,1.0,Expats,Graduated,NOTSELECTED,110000,1488123352.37,health,IQ
8678,8678,45+,1.0,Expats,Graduated,NOTSELECTED,15000,1488123352.37,health,IQ
8679,8679,18-24,2.0,Expats,Graduated,NOTSELECTED,9900,1488123352.37,health,IQ
8680,8680,25-44,2.0,Expats,Graduated,NOTSELECTED,21000,1488123352.37,health,IQ
8681,8681,45+,2.0,Expats,Graduated,NOTSELECTED,2900,1488123352.37,health,IQ
8682,8682,18-24,1.0,Expats,No Degree,NOTSELECTED,43000,1488123352.37,health,IQ
8683,8683,25-44,1.0,Expats,No Degree,NOTSELECTED,62000,1488123352.37,health,IQ
8684,8684,45+,1.0,Expats,No Degree,NOTSELECTED,12000,1488123352.37,health,IQ
8685,8685,18-24,2.0,Expats,No Degree,NOTSELECTED,15000,1488123352.37,health,IQ
8686,8686,25-44,2.0,Expats,No Degree,NOTSELECTED,19000,1488123352.37,health,IQ
8687,8687,45+,2.0,Expats,No Degree,NOTSELECTED,4200,1488123352.37,health,IQ
8688,8688,18-24,1.0,Expats,High School,NOTSELECTED,29000,1488123352.37,health,IQ
8689,8689,25-44,1.0,Expats,High School,NOTSELECTED,31000,1488123352.37,health,IQ
8690,8690,45+,1.0,Expats,High School,NOTSELECTED,4800,1488123352.37,health,IQ
8691,8691,18-24,2.0,Expats,High School,NOTSELECTED,8800,1488123352.37,health,IQ
8692,8692,25-44,2.0,Expats,High School,NOTSELECTED,6700,1488123352.37,health,IQ
8693,8693,45+,2.0,Expats,High School,NOTSELECTED,1100,1488123352.37,health,IQ
8694,8694,18-24,1.0,Locals,Graduated,NOTSELECTED,520000,1488123352.37,health,IQ
8695,8695,25-44,1.0,Locals,Graduated,NOTSELECTED,1100000,1488123352.37,health,IQ
8696,8696,45+,1.0,Locals,Graduated,NOTSELECTED,160000,1488123352.37,health,IQ
8697,8697,18-24,2.0,Locals,Graduated,NOTSELECTED,140000,1488123352.37,health,IQ
8698,8698,25-44,2.0,Locals,Graduated,NOTSELECTED,270000,1488123352.37,health,IQ
8699,8699,45+,2.0,Locals,Graduated,NOTSELECTED,45000,1488123352.37,health,IQ
8700,8700,18-24,1.0,Locals,No Degree,NOTSELECTED,850000,1488123352.37,health,IQ
8701,8701,25-44,1.0,Locals,No Degree,NOTSELECTED,1100000,1488123352.37,health,IQ
8702,8702,45+,1.0,Locals,No Degree,NOTSELECTED,280000,1488123352.37,health,IQ
8703,8703,18-24,2.0,Locals,No Degree,NOTSELECTED,260000,1488123352.37,health,IQ
8704,8704,25-44,2.0,Locals,No Degree,NOTSELECTED,360000,1488123352.37,health,IQ
8705,8705,45+,2.0,Locals,No Degree,NOTSELECTED,110000,1488123352.37,health,IQ
8706,8706,18-24,1.0,Locals,High School,NOTSELECTED,350000,1488123352.37,health,IQ
8707,8707,25-44,1.0,Locals,High School,NOTSELECTED,340000,1488123352.37,health,IQ
8708,8708,45+,1.0,Locals,High School,NOTSELECTED,56000,1488123352.37,health,IQ
8709,8709,18-24,2.0,Locals,High School,NOTSELECTED,140000,1488123352.37,health,IQ
8710,8710,25-44,2.0,Locals,High School,NOTSELECTED,91000,1488123352.37,health,IQ
8711,8711,45+,2.0,Locals,High School,NOTSELECTED,16000,1488123352.37,health,IQ
8712,8712,18-24,1.0,Expats,Graduated,NOTSELECTED,43000,1488123352.37,health,JO
8713,8713,25-44,1.0,Expats,Graduated,NOTSELECTED,98000,1488123352.37,health,JO
8714,8714,45+,1.0,Expats,Graduated,NOTSELECTED,17000,1488123352.37,health,JO
8715,8715,18-24,2.0,Expats,Graduated,NOTSELECTED,27000,1488123352.37,health,JO
8716,8716,25-44,2.0,Expats,Graduated,NOTSELECTED,63000,1488123352.37,health,JO
8717,8717,45+,2.0,Expats,Graduated,NOTSELECTED,14000,1488123352.37,health,JO
8718,8718,18-24,1.0,Expats,No Degree,NOTSELECTED,49000,1488123352.37,health,JO
8719,8719,25-44,1.0,Expats,No Degree,NOTSELECTED,88000,1488123352.37,health,JO
8720,8720,45+,1.0,Expats,No Degree,NOTSELECTED,21000,1488123352.37,health,JO
8721,8721,18-24,2.0,Expats,No Degree,NOTSELECTED,27000,1488123352.37,health,JO
8722,8722,25-44,2.0,Expats,No Degree,NOTSELECTED,46000,1488123352.37,health,JO
8723,8723,45+,2.0,Expats,No Degree,NOTSELECTED,20000,1488123352.37,health,JO
8724,8724,18-24,1.0,Expats,High School,NOTSELECTED,36000,1488123352.37,health,JO
8725,8725,25-44,1.0,Expats,High School,NOTSELECTED,31000,1488123352.37,health,JO
8726,8726,45+,1.0,Expats,High School,NOTSELECTED,5700,1488123352.37,health,JO
8727,8727,18-24,2.0,Expats,High School,NOTSELECTED,34000,1488123352.37,health,JO
8728,8728,25-44,2.0,Expats,High School,NOTSELECTED,21000,1488123352.37,health,JO
8729,8729,45+,2.0,Expats,High School,NOTSELECTED,5600,1488123352.37,health,JO
8730,8730,18-24,1.0,Locals,Graduated,NOTSELECTED,130000,1488123352.37,health,JO
8731,8731,25-44,1.0,Locals,Graduated,NOTSELECTED,270000,1488123352.37,health,JO
8732,8732,45+,1.0,Locals,Graduated,NOTSELECTED,51000,1488123352.37,health,JO
8733,8733,18-24,2.0,Locals,Graduated,NOTSELECTED,92000,1488123352.37,health,JO
8734,8734,25-44,2.0,Locals,Graduated,NOTSELECTED,190000,1488123352.37,health,JO
8735,8735,45+,2.0,Locals,Graduated,NOTSELECTED,30000,1488123352.37,health,JO
8736,8736,18-24,1.0,Locals,No Degree,NOTSELECTED,140000,1488123352.37,health,JO
8737,8737,25-44,1.0,Locals,No Degree,NOTSELECTED,210000,1488123352.37,health,JO
8738,8738,45+,1.0,Locals,No Degree,NOTSELECTED,84000,1488123352.37,health,JO
8739,8739,18-24,2.0,Locals,No Degree,NOTSELECTED,120000,1488123352.37,health,JO
8740,8740,25-44,2.0,Locals,No Degree,NOTSELECTED,190000,1488123352.37,health,JO
8741,8741,45+,2.0,Locals,No Degree,NOTSELECTED,74000,1488123352.37,health,JO
8742,8742,18-24,1.0,Locals,High School,NOTSELECTED,110000,1488123352.37,health,JO
8743,8743,25-44,1.0,Locals,High School,NOTSELECTED,86000,1488123352.37,health,JO
8744,8744,45+,1.0,Locals,High School,NOTSELECTED,21000,1488123352.37,health,JO
8745,8745,18-24,2.0,Locals,High School,NOTSELECTED,110000,1488123352.37,health,JO
8746,8746,25-44,2.0,Locals,High School,NOTSELECTED,61000,1488123352.37,health,JO
8747,8747,45+,2.0,Locals,High School,NOTSELECTED,12000,1488123352.37,health,JO
8748,8748,18-24,1.0,Expats,Graduated,NOTSELECTED,28000,1488123352.37,health,KW
8749,8749,25-44,1.0,Expats,Graduated,NOTSELECTED,240000,1488123352.37,health,KW
8750,8750,45+,1.0,Expats,Graduated,NOTSELECTED,35000,1488123352.37,health,KW
8751,8751,18-24,2.0,Expats,Graduated,NOTSELECTED,12000,1488123352.37,health,KW
8752,8752,25-44,2.0,Expats,Graduated,NOTSELECTED,130000,1488123352.37,health,KW
8753,8753,45+,2.0,Expats,Graduated,NOTSELECTED,18000,1488123352.37,health,KW
8754,8754,18-24,1.0,Expats,No Degree,NOTSELECTED,59000,1488123352.37,health,KW
8755,8755,25-44,1.0,Expats,No Degree,NOTSELECTED,220000,1488123352.37,health,KW
8756,8756,45+,1.0,Expats,No Degree,NOTSELECTED,47000,1488123352.37,health,KW
8757,8757,18-24,2.0,Expats,No Degree,NOTSELECTED,25000,1488123352.37,health,KW
8758,8758,25-44,2.0,Expats,No Degree,NOTSELECTED,92000,1488123352.37,health,KW
8759,8759,45+,2.0,Expats,No Degree,NOTSELECTED,20000,1488123352.37,health,KW
8760,8760,18-24,1.0,Expats,High School,NOTSELECTED,14000,1488123352.37,health,KW
8761,8761,25-44,1.0,Expats,High School,NOTSELECTED,70000,1488123352.37,health,KW
8762,8762,45+,1.0,Expats,High School,NOTSELECTED,11000,1488123352.37,health,KW
8763,8763,18-24,2.0,Expats,High School,NOTSELECTED,10000,1488123352.37,health,KW
8764,8764,25-44,2.0,Expats,High School,NOTSELECTED,46000,1488123352.37,health,KW
8765,8765,45+,2.0,Expats,High School,NOTSELECTED,6600,1488123352.37,health,KW
8766,8766,18-24,1.0,Locals,Graduated,NOTSELECTED,2900,1488123352.37,health,KW
8767,8767,25-44,1.0,Locals,Graduated,NOTSELECTED,15000,1488123352.37,health,KW
8768,8768,45+,1.0,Locals,Graduated,NOTSELECTED,2600,1488123352.37,health,KW
8769,8769,18-24,2.0,Locals,Graduated,NOTSELECTED,1700,1488123352.37,health,KW
8770,8770,25-44,2.0,Locals,Graduated,NOTSELECTED,9500,1488123352.37,health,KW
8771,8771,45+,2.0,Locals,Graduated,NOTSELECTED,1500,1488123352.37,health,KW
8772,8772,18-24,1.0,Locals,No Degree,NOTSELECTED,7400,1488123352.37,health,KW
8773,8773,25-44,1.0,Locals,No Degree,NOTSELECTED,19000,1488123352.37,health,KW
8774,8774,45+,1.0,Locals,No Degree,NOTSELECTED,4300,1488123352.37,health,KW
8775,8775,18-24,2.0,Locals,No Degree,NOTSELECTED,5400,1488123352.37,health,KW
8776,8776,25-44,2.0,Locals,No Degree,NOTSELECTED,13000,1488123352.37,health,KW
8777,8777,45+,2.0,Locals,No Degree,NOTSELECTED,2800,1488123352.37,health,KW
8778,8778,18-24,1.0,Locals,High School,NOTSELECTED,2100,1488123352.37,health,KW
8779,8779,25-44,1.0,Locals,High School,NOTSELECTED,3900,1488123352.37,health,KW
8780,8780,45+,1.0,Locals,High School,NOTSELECTED,750,1488123352.37,health,KW
8781,8781,18-24,2.0,Locals,High School,NOTSELECTED,2000,1488123352.37,health,KW
8782,8782,25-44,2.0,Locals,High School,NOTSELECTED,2400,1488123352.37,health,KW
8783,8783,45+,2.0,Locals,High School,NOTSELECTED,280,1488123352.37,health,KW
8784,8784,18-24,1.0,Expats,Graduated,NOTSELECTED,24000,1488123352.37,health,LB
8785,8785,25-44,1.0,Expats,Graduated,NOTSELECTED,52000,1488123352.37,health,LB
8786,8786,45+,1.0,Expats,Graduated,NOTSELECTED,7700,1488123352.37,health,LB
8787,8787,18-24,2.0,Expats,Graduated,NOTSELECTED,9500,1488123352.37,health,LB
8788,8788,25-44,2.0,Expats,Graduated,NOTSELECTED,31000,1488123352.37,health,LB
8789,8789,45+,2.0,Expats,Graduated,NOTSELECTED,7500,1488123352.37,health,LB
8790,8790,18-24,1.0,Expats,No Degree,NOTSELECTED,43000,1488123352.37,health,LB
8791,8791,25-44,1.0,Expats,No Degree,NOTSELECTED,74000,1488123352.37,health,LB
8792,8792,45+,1.0,Expats,No Degree,NOTSELECTED,14000,1488123352.37,health,LB
8793,8793,18-24,2.0,Expats,No Degree,NOTSELECTED,21000,1488123352.37,health,LB
8794,8794,25-44,2.0,Expats,No Degree,NOTSELECTED,38000,1488123352.37,health,LB
8795,8795,45+,2.0,Expats,No Degree,NOTSELECTED,11000,1488123352.37,health,LB
8796,8796,18-24,1.0,Expats,High School,NOTSELECTED,16000,1488123352.37,health,LB
