,topic,audience,country_code,citizenship,gender,is_denominator,scholarity,age_range
170514,mobile phones gadgets,15000,JO,Locals,Female,False,HS,45+
170515,mobile phones gadgets,1000,KW,Locals,Female,False,HS,45+
170516,mobile phones gadgets,15000,LB,Locals,Female,False,HS,45+
170517,mobile phones gadgets,6200,LY,Locals,Female,False,HS,45+
170518,mobile phones gadgets,23000,MA,Locals,Female,False,HS,45+
170519,mobile phones gadgets,390,OM,Locals,Female,False,HS,45+
170520,mobile phones gadgets,730,QA,Locals,Female,False,HS,45+
170521,mobile phones gadgets,12000,SA,Locals,Female,False,HS,45+
170522,mobile phones gadgets,510,SO,Locals,Female,False,HS,45+
170523,mobile phones gadgets,28000,TN,Locals,Female,False,HS,45+
170524,mobile phones gadgets,3100,AE,Locals,Female,False,HS,45+
170525,mobile phones gadgets,810,YE,Locals,Female,False,HS,45+
170526,mobile phones gadgets,3900,PS,Locals,Female,False,HS,45+
215492,back pain,33000,DZ,Locals,Male,False,GRAD,18-24
215493,back pain,70,BH,Locals,Male,False,GRAD,18-24
215494,back pain,3900,EG,Locals,Male,False,GRAD,18-24
215495,back pain,1900,IQ,Locals,Male,False,GRAD,18-24
215496,back pain,920,JO,Locals,Male,False,GRAD,18-24
215497,back pain,90,KW,Locals,Male,False,GRAD,18-24
215498,back pain,1800,LB,Locals,Male,False,GRAD,18-24
215499,back pain,3100,LY,Locals,Male,False,GRAD,18-24
215500,back pain,2200,MA,Locals,Male,False,GRAD,18-24
215501,back pain,120,OM,Locals,Male,False,GRAD,18-24
215502,back pain,120,QA,Locals,Male,False,GRAD,18-24
215503,back pain,2100,SA,Locals,Male,False,GRAD,18-24
215504,back pain,0,SO,Locals,Male,False,GRAD,18-24
215505,back pain,2400,TN,Locals,Male,False,GRAD,18-24
215506,back pain,410,AE,Locals,Male,False,GRAD,18-24
215507,back pain,1800,YE,Locals,Male,False,GRAD,18-24
215508,back pain,130,PS,Locals,Male,False,GRAD,18-24
215611,back pain,61000,DZ,Locals,Male,False,ND,18-24
215612,back pain,60,BH,Locals,Male,False,ND,18-24
215613,back pain,2500,EG,Locals,Male,False,ND,18-24
215614,back pain,4600,IQ,Locals,Male,False,ND,18-24
215615,back pain,760,JO,Locals,Male,False,ND,18-24
215616,back pain,240,KW,Locals,Male,False,ND,18-24
215617,back pain,2200,LB,Locals,Male,False,ND,18-24
215618,back pain,6200,LY,Locals,Male,False,ND,18-24
215619,back pain,2900,MA,Locals,Male,False,ND,18-24
215620,back pain,160,OM,Locals,Male,False,ND,18-24
215621,back pain,120,QA,Locals,Male,False,ND,18-24
215622,back pain,14000,SA,Locals,Male,False,ND,18-24
215623,back pain,0,SO,Locals,Male,False,ND,18-24
215624,back pain,3700,TN,Locals,Male,False,ND,18-24
215625,back pain,880,AE,Locals,Male,False,ND,18-24
215626,back pain,2000,YE,Locals,Male,False,ND,18-24
215627,back pain,70,PS,Locals,Male,False,ND,18-24
215730,back pain,15000,DZ,Locals,Male,False,HS,18-24
215731,back pain,0,BH,Locals,Male,False,HS,18-24
215732,back pain,2200,EG,Locals,Male,False,HS,18-24
215733,back pain,1100,IQ,Locals,Male,False,HS,18-24
215734,back pain,700,JO,Locals,Male,False,HS,18-24
215735,back pain,40,KW,Locals,Male,False,HS,18-24
215736,back pain,1300,LB,Locals,Male,False,HS,18-24
215737,back pain,1500,LY,Locals,Male,False,HS,18-24
215738,back pain,1100,MA,Locals,Male,False,HS,18-24
215739,back pain,50,OM,Locals,Male,False,HS,18-24
215740,back pain,30,QA,Locals,Male,False,HS,18-24
215741,back pain,1200,SA,Locals,Male,False,HS,18-24
215742,back pain,0,SO,Locals,Male,False,HS,18-24
215743,back pain,1300,TN,Locals,Male,False,HS,18-24
215744,back pain,210,AE,Locals,Male,False,HS,18-24
215745,back pain,1200,YE,Locals,Male,False,HS,18-24
215746,back pain,100,PS,Locals,Male,False,HS,18-24
216682,back pain,18000,DZ,Locals,Female,False,GRAD,18-24
216683,back pain,30,BH,Locals,Female,False,GRAD,18-24
216684,back pain,8200,EG,Locals,Female,False,GRAD,18-24
216685,back pain,320,IQ,Locals,Female,False,GRAD,18-24
216686,back pain,640,JO,Locals,Female,False,GRAD,18-24
216687,back pain,0,KW,Locals,Female,False,GRAD,18-24
216688,back pain,1000,LB,Locals,Female,False,GRAD,18-24
216689,back pain,2000,LY,Locals,Female,False,GRAD,18-24
216690,back pain,1200,MA,Locals,Female,False,GRAD,18-24
216691,back pain,0,OM,Locals,Female,False,GRAD,18-24
216692,back pain,0,QA,Locals,Female,False,GRAD,18-24
216693,back pain,310,SA,Locals,Female,False,GRAD,18-24
216694,back pain,0,SO,Locals,Female,False,GRAD,18-24
216695,back pain,1000,TN,Locals,Female,False,GRAD,18-24
216696,back pain,100,AE,Locals,Female,False,GRAD,18-24
216697,back pain,430,YE,Locals,Female,False,GRAD,18-24
216698,back pain,130,PS,Locals,Female,False,GRAD,18-24
216801,back pain,35000,DZ,Locals,Female,False,ND,18-24
216802,back pain,30,BH,Locals,Female,False,ND,18-24
216803,back pain,3800,EG,Locals,Female,False,ND,18-24
216804,back pain,650,IQ,Locals,Female,False,ND,18-24
216805,back pain,380,JO,Locals,Female,False,ND,18-24
216806,back pain,50,KW,Locals,Female,False,ND,18-24
216807,back pain,1200,LB,Locals,Female,False,ND,18-24
216808,back pain,2900,LY,Locals,Female,False,ND,18-24
216809,back pain,1300,MA,Locals,Female,False,ND,18-24
216810,back pain,0,OM,Locals,Female,False,ND,18-24
216811,back pain,0,QA,Locals,Female,False,ND,18-24
216812,back pain,1300,SA,Locals,Female,False,ND,18-24
216813,back pain,0,SO,Locals,Female,False,ND,18-24
216814,back pain,2000,TN,Locals,Female,False,ND,18-24
216815,back pain,130,AE,Locals,Female,False,ND,18-24
216816,back pain,470,YE,Locals,Female,False,ND,18-24
216817,back pain,70,PS,Locals,Female,False,ND,18-24
216920,back pain,9500,DZ,Locals,Female,False,HS,18-24
216921,back pain,0,BH,Locals,Female,False,HS,18-24
216922,back pain,4700,EG,Locals,Female,False,HS,18-24
216923,back pain,290,IQ,Locals,Female,False,HS,18-24
216924,back pain,600,JO,Locals,Female,False,HS,18-24
216925,back pain,0,KW,Locals,Female,False,HS,18-24
216926,back pain,1000,LB,Locals,Female,False,HS,18-24
216927,back pain,1200,LY,Locals,Female,False,HS,18-24
216928,back pain,620,MA,Locals,Female,False,HS,18-24
216929,back pain,0,OM,Locals,Female,False,HS,18-24
216930,back pain,0,QA,Locals,Female,False,HS,18-24
216931,back pain,240,SA,Locals,Female,False,HS,18-24
216932,back pain,0,SO,Locals,Female,False,HS,18-24
216933,back pain,580,TN,Locals,Female,False,HS,18-24
216934,back pain,50,AE,Locals,Female,False,HS,18-24
216935,back pain,460,YE,Locals,Female,False,HS,18-24
216936,back pain,130,PS,Locals,Female,False,HS,18-24
222632,back pain,60000,DZ,Locals,Male,False,GRAD,25-44
222633,back pain,250,BH,Locals,Male,False,GRAD,25-44
